tweet_id,favorite_count,retweet_count,date_time
710833117892898816,2880,590,2016-03-18 14:19:56
710844581445812225,2730,754,2016-03-18 15:05:29
710997087345876993,4876,1536,2016-03-19 01:11:29
711008018775851008,3208,689,2016-03-19 01:54:56
711306686208872448,3538,804,2016-03-19 21:41:44
711363825979756544,3925,1256,2016-03-20 01:28:47
711652651650457602,4144,1012,2016-03-20 20:36:28
711694788429553666,35205,20045,2016-03-20 23:23:54
711732680602345472,9550,4530,2016-03-21 01:54:29
711743778164514816,3045,1084,2016-03-21 02:38:34
711968124745228288,8621,2537,2016-03-21 17:30:03
711998809858043904,0,137,2016-03-21 19:31:59
712065007010385924,2419,692,2016-03-21 23:55:01
712085617388212225,3462,541,2016-03-22 01:16:55
712092745624633345,3154,995,2016-03-22 01:45:15
712097430750289920,4069,1147,2016-03-22 02:03:52
712438159032893441,5693,1715,2016-03-23 00:37:48
712668654853337088,4452,1335,2016-03-23 15:53:42
712717840512598017,13246,5473,2016-03-23 19:09:09
712809025985978368,19959,7404,2016-03-24 01:11:29
713175907180089344,4768,1597,2016-03-25 01:29:21
713177543487135744,7706,3116,2016-03-25 01:35:51
713411074226274305,4714,1414,2016-03-25 17:03:49
713761197720473600,5212,1512,2016-03-26 16:15:05
713900603437621249,3017,817,2016-03-27 01:29:02
713919462244790272,3498,852,2016-03-27 02:43:58
714141408463036416,4600,1535,2016-03-27 17:25:54
714214115368108032,2429,966,2016-03-27 22:14:49
714251586676113411,3499,923,2016-03-28 00:43:43
714258258790387713,3218,790,2016-03-28 01:10:13
714606013974974464,3872,1023,2016-03-29 00:12:05
714631576617938945,3497,1097,2016-03-29 01:53:39
714957620017307648,4421,1555,2016-03-29 23:29:14
714982300363173890,4015,1133,2016-03-30 01:07:18
715009755312439296,4466,1362,2016-03-30 02:56:24
715200624753819648,5481,2065,2016-03-30 15:34:51
715220193576927233,2573,723,2016-03-30 16:52:36
715342466308784130,3233,753,2016-03-31 00:58:29
